PWGTP,WGTP,AGEP,SEX,MAR,HISP,RAC1P,CIT,SCHL,WKHP,WKWN,WAGP,HINCP,INDP,ESR,FS,SERIALNO,R65,NOC,NRC,FER,PUMA,ADJINC,HUPAOC,HUPARC,state,HHSIZE,SQ_AGEP,EDU1,EDU2,EDU3,EDU4,EDU5,BLW21,EDU_AGE,MARRIED,ADJ_WAGP,ADJ_HINCP,INDP_cat,INDP_prefix,INDP_code,IND1,IND2,IND3,IND4,IND5,IND6,OC_under6,FER_MAR,NOC_MAR,OCunder6_MAR,unemp_reg,fs_availibility,fs_lagreceipt,avg_WAGP,avg_HINCP,SIMBENEFIT,SQ_SIMBENEFIT,SIMBENEFIT_SNAP,SB_EDU2,SB_EDU3,SB_EDU4,SB_EDU5,hrs_elast,WKHP_NAP,WKHP_SNAP,WKHP_change,WKHP_change_pct
95,56,23,0,5,14,8,2,19,18,52,2000.0,34000.0,4590,1.0,0,2023HU0004860,1,0.0,0,0,2100,1.019518,4,4,72,4,529,0,0,1,0,0,0,0,0,2039.0359999999998,34663.612,WHL-Not Specified Wholesale Trade,WHL,20,0,0,1,0,0,0,0,0,0.0,0,4.888446514423077,0.07949317081396189,431,8407.92911629393,89158.69438154445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.11856852295869,30.11856852295869,0.0,0.0
125,125,32,0,5,03,9,2,19,40,52,34000.0,34000.0,7072,1.0,0,2023HU0005567,0,0.0,0,0,1101,1.019518,4,4,72,1,1024,0,0,1,0,0,0,0,0,34663.612,34663.612,FIN-Activities Related To Real Estate,FIN,7,0,0,0,1,0,0,0,0,0.0,0,4.2539866393707575,0.07692561953670343,1149,33363.30454493083,33363.30454493083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.88338142334205,37.88338142334205,0.0,0.0
68,69,63,0,3,03,9,2,21,40,52,39000.0,39000.0,9470,1.0,0,2023HU0005711,0,0.0,0,0,1500,1.019518,4,4,72,1,3969,0,0,0,1,0,0,0,0,39761.202,39761.202,"ADM-Justice, Public Order, And Safety Activities",ADM,1,0,0,0,0,1,0,0,0,0.0,0,4.935338594389125,0.08030826016787515,488,37799.90702396514,37799.90702396514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.22298173023269,37.22298173023269,0.0,0.0
50,32,64,0,1,03,9,2,21,6,40,0.0,181300.0,8370,1.0,0,2023HU0005712,0,0.0,0,0,1200,1.019518,4,4,72,2,4096,0,0,0,1,0,0,0,1,0.0,184838.61339999997,SCA-Individual And Family Services,SCA,15,0,0,0,0,0,1,0,0,0.0,0,2.9014684983420183,0.06661025797972887,371,12116.579307692306,52633.134628190484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.513392850038464,33.513392850038464,0.0,0.0
50,53,37,0,1,03,2,2,21,40,52,28000.0,64000.0,6991,1.0,0,2023HU0006084,0,1.0,1,0,1300,1.019518,2,2,72,3,1369,0,0,0,1,0,0,0,1,28546.503999999997,65249.151999999995,FIN-Insurance Carriers,FIN,7,0,0,0,1,0,0,0,0,1.0,0,4.494460316354261,0.07911436174626973,758,35800.84069427095,60724.05836728772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.340716324671284,39.340716324671284,0.0,0.0
35,35,46,0,3,03,9,2,22,40,52,95000.0,126200.0,6871,1.0,0,2023HU0007701,0,0.0,0,0,1200,1.019518,4,4,72,2,2116,0,0,0,0,1,0,0,0,96854.20999999999,128663.17159999999,"FIN-Monetary Authorities-Central Bank, And Commerical Banking",FIN,7,0,0,0,1,0,0,0,0,0.0,0,2.9014684983420183,0.06661025797972887,371,34354.22361683168,34354.03890503957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.387129572350915,45.387129572350915,0.0,0.0
52,52,36,0,5,03,8,2,21,14,1,280.0,105680.0,6190,1.0,1,2023HU0007780,0,0.0,0,0,1102,1.019518,4,4,72,3,1296,0,0,0,1,0,0,0,0,285.46504,107742.66223999999,TRN-Taxi And Limousine Service,TRN,17,0,0,1,0,0,0,0,0,0.0,0,4.2539866393707575,0.07692561953670343,1149,11167.800172000001,74948.38070170372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.34871997585336,34.34871997585336,0.0,0.0
86,52,42,0,1,03,8,2,21,40,52,80000.0,105680.0,7990,1.0,1,2023HU0007780,0,0.0,0,0,1102,1.019518,4,4,72,3,1764,0,0,0,1,0,0,0,1,81561.43999999999,107742.66223999999,MED-Offices Of Chiropractors,MED,9,0,0,0,0,0,1,0,0,0.0,0,4.2539866393707575,0.07692561953670343,1149,27044.352701446453,74948.38070170372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.312039750068145,42.312039750068145,0.0,0.0
66,65,66,0,2,03,8,2,22,40,52,23000.0,48900.0,7860,1.0,0,2023HU0008233,1,0.0,0,0,1300,1.019518,4,4,72,2,4356,0,0,0,0,1,0,0,0,23448.913999999997,49854.430199999995,EDU-Elementary And Secondary Schools,EDU,4,0,0,0,0,0,1,0,0,0.0,0,4.494460316354261,0.07911436174626973,758,22999.445256227136,45998.89051245427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.800598001942895,34.800598001942895,0.0,0.0
81,65,32,0,1,03,8,2,21,40,52,18700.0,48900.0,7860,1.0,0,2023HU0008233,1,0.0,0,0,1300,1.019518,4,4,72,2,1024,0,0,0,1,0,0,0,1,19064.9866,49854.430199999995,EDU-Elementary And Secondary Schools,EDU,4,0,0,0,0,0,1,0,0,0.0,0,4.494460316354261,0.07911436174626973,758,22999.445256227136,45998.89051245427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.31971520378857,36.31971520378857,0.0,0.0
